Chr_Scaffold	NCBI_ACC	ENS_ACC
scaffold_AADN04023141.1_chrUn	NT_478628.1	AADN04023141.1
scaffold_AADN04023142.1_chrUn	NT_478629.1	AADN04023142.1
scaffold_AADN04023143.1_chrUn	NT_478630.1	AADN04023143.1
scaffold_AADN04023144.1_chrUn	NT_478631.1	AADN04023144.1
scaffold_AADN04002167.1_chrUn	NT_464967.1	AADN04002167.1
scaffold_AADN04023145.1_chrUn	NT_478632.1	AADN04023145.1
scaffold_AADN04023146.1_chrUn	NT_478633.1	AADN04023146.1
scaffold_AADN04023147.1_chrUn	NT_478634.1	AADN04023147.1
scaffold_AADN04023148.1_chrUn	NT_478635.1	AADN04023148.1
scaffold_AADN04023149.1_chrUn	NT_478636.1	AADN04023149.1
scaffold_AADN04023150.1_chrUn	NT_478637.1	AADN04023150.1
scaffold_AADN04023151.1_chrUn	NT_478638.1	AADN04023151.1
scaffold_AADN04023153.1_chrUn	NT_478639.1	AADN04023153.1
scaffold_AADN04002168.1_chrUn	NT_464968.1	AADN04002168.1
scaffold_AADN04023154.1_chrUn	NT_478640.1	AADN04023154.1
scaffold_AADN04023156.1_chrUn	NT_478641.1	AADN04023156.1
scaffold_AADN04023157.1_chrUn	NT_478642.1	AADN04023157.1
scaffold_AADN04023158.1_chrUn	NT_478643.1	AADN04023158.1
scaffold_AADN04023159.1_chrUn	NT_478644.1	AADN04023159.1
scaffold_AADN04023160.1_chrUn	NT_478645.1	AADN04023160.1
scaffold_AADN04023161.1_chrUn	NT_478646.1	AADN04023161.1
scaffold_AADN04023162.1_chrUn	NT_478647.1	AADN04023162.1
scaffold_AADN04023163.1_chrUn	NT_478648.1	AADN04023163.1
scaffold_AADN04023164.1_chrUn	NT_478649.1	AADN04023164.1
scaffold_AADN04023165.1_chrUn	NT_478650.1	AADN04023165.1
scaffold_AADN04023168.1_chrUn	NT_478651.1	AADN04023168.1
scaffold_AADN04023169.1_chrUn	NT_478652.1	AADN04023169.1
scaffold_AADN04023170.1_chrUn	NT_478653.1	AADN04023170.1
scaffold_AADN04023171.1_chrUn	NT_478654.1	AADN04023171.1
scaffold_AADN04023172.1_chrUn	NT_478655.1	AADN04023172.1
scaffold_AADN04023173.1_chrUn	NT_478656.1	AADN04023173.1
scaffold_AADN04023174.1_chrUn	NT_478657.1	AADN04023174.1
scaffold_AADN04023175.1_chrUn	NT_478658.1	AADN04023175.1
scaffold_AADN04023176.1_chrUn	NT_478659.1	AADN04023176.1
scaffold_AADN04023178.1_chrUn	NT_478660.1	AADN04023178.1
scaffold_AADN04023179.1_chrUn	NT_478661.1	AADN04023179.1
scaffold_AADN04023181.1_chrUn	NT_478662.1	AADN04023181.1
scaffold_AADN04023182.1_chrUn	NT_478663.1	AADN04023182.1
scaffold_AADN04002173.1_chrUn	NT_464969.1	AADN04002173.1
scaffold_AADN04023183.1_chrUn	NT_478664.1	AADN04023183.1
scaffold_AADN04023184.1_chrUn	NT_478665.1	AADN04023184.1
scaffold_AADN04023185.1_chrUn	NT_478666.1	AADN04023185.1
scaffold_AADN04023187.1_chrUn	NT_478667.1	AADN04023187.1
scaffold_AADN04023188.1_chrUn	NT_478668.1	AADN04023188.1
scaffold_AADN04023190.1_chrUn	NT_478669.1	AADN04023190.1
scaffold_AADN04023191.1_chrUn	NT_478670.1	AADN04023191.1
scaffold_AADN04023192.1_chrUn	NT_478671.1	AADN04023192.1
scaffold_AADN04023195.1_chrUn	NT_478672.1	AADN04023195.1
scaffold_AADN04023196.1_chrUn	NT_478673.1	AADN04023196.1
scaffold_AADN04023197.1_chrUn	NT_478674.1	AADN04023197.1
scaffold_AADN04023198.1_chrUn	NT_478675.1	AADN04023198.1
scaffold_AADN04023200.1_chrUn	NT_478676.1	AADN04023200.1
scaffold_AADN04023201.1_chrUn	NT_478677.1	AADN04023201.1
scaffold_AADN04023202.1_chrUn	NT_478678.1	AADN04023202.1
scaffold_AADN04023203.1_chrUn	NT_478679.1	AADN04023203.1
scaffold_AADN04023205.1_chrUn	NT_478680.1	AADN04023205.1
scaffold_AADN04023207.1_chrUn	NT_478681.1	AADN04023207.1
scaffold_AADN04023208.1_chrUn	NT_478682.1	AADN04023208.1
scaffold_AADN04023210.1_chrUn	NT_478683.1	AADN04023210.1
scaffold_AADN04023211.1_chrUn	NT_478684.1	AADN04023211.1
scaffold_AADN04023212.1_chrUn	NT_478685.1	AADN04023212.1
scaffold_AADN04023213.1_chrUn	NT_478686.1	AADN04023213.1
scaffold_AADN04023214.1_chrUn	NT_478687.1	AADN04023214.1
scaffold_AADN04023217.1_chrUn	NT_478688.1	AADN04023217.1
scaffold_AADN04023218.1_chrUn	NT_478689.1	AADN04023218.1
scaffold_AADN04023221.1_chrUn	NT_478690.1	AADN04023221.1
scaffold_KQ759579.1_chrUn	NT_464970.1	KQ759579.1
scaffold_AADN04023222.1_chrUn	NT_478691.1	AADN04023222.1
scaffold_AADN04023224.1_chrUn	NT_478692.1	AADN04023224.1
scaffold_AADN04023225.1_chrUn	NT_478693.1	AADN04023225.1
scaffold_AADN04023226.1_chrUn	NT_478694.1	AADN04023226.1
scaffold_AADN04023227.1_chrUn	NT_478695.1	AADN04023227.1
scaffold_AADN04023228.1_chrUn	NT_478696.1	AADN04023228.1
scaffold_AADN04023229.1_chrUn	NT_478697.1	AADN04023229.1
scaffold_AADN04023230.1_chrUn	NT_478698.1	AADN04023230.1
scaffold_AADN04023231.1_chrUn	NT_478699.1	AADN04023231.1
scaffold_AADN04023232.1_chrUn	NT_478700.1	AADN04023232.1
scaffold_AADN04023233.1_chrUn	NT_478701.1	AADN04023233.1
scaffold_AADN04023235.1_chrUn	NT_478702.1	AADN04023235.1
scaffold_AADN04023237.1_chrUn	NT_478703.1	AADN04023237.1
scaffold_AADN04023238.1_chrUn	NT_478704.1	AADN04023238.1
scaffold_AADN04023239.1_chrUn	NT_478705.1	AADN04023239.1
scaffold_AADN04023240.1_chrUn	NT_478706.1	AADN04023240.1
scaffold_AADN04023241.1_chrUn	NT_478707.1	AADN04023241.1
scaffold_AADN04023242.1_chrUn	NT_478708.1	AADN04023242.1
scaffold_AADN04023243.1_chrUn	NT_478709.1	AADN04023243.1
scaffold_AADN04023245.1_chrUn	NT_478710.1	AADN04023245.1
scaffold_AADN04023246.1_chrUn	NT_478711.1	AADN04023246.1
scaffold_AADN04023247.1_chrUn	NT_478712.1	AADN04023247.1
scaffold_AADN04023248.1_chrUn	NT_478713.1	AADN04023248.1
scaffold_AADN04023249.1_chrUn	NT_478714.1	AADN04023249.1
scaffold_AADN04023250.1_chrUn	NT_478715.1	AADN04023250.1
scaffold_AADN04023251.1_chrUn	NT_478716.1	AADN04023251.1
scaffold_AADN04023253.1_chrUn	NT_478717.1	AADN04023253.1
scaffold_AADN04023254.1_chrUn	NT_478718.1	AADN04023254.1
scaffold_AADN04023255.1_chrUn	NT_478719.1	AADN04023255.1
scaffold_AADN04023256.1_chrUn	NT_478720.1	AADN04023256.1
scaffold_AADN04023258.1_chrUn	NT_478721.1	AADN04023258.1
scaffold_AADN04023260.1_chrUn	NT_478722.1	AADN04023260.1
scaffold_AADN04023261.1_chrUn	NT_478723.1	AADN04023261.1
scaffold_AADN04023262.1_chrUn	NT_478724.1	AADN04023262.1
scaffold_AADN04023264.1_chrUn	NT_478725.1	AADN04023264.1
scaffold_AADN04023265.1_chrUn	NT_478726.1	AADN04023265.1
scaffold_AADN04002180.1_chrUn	NT_464971.1	AADN04002180.1
scaffold_AADN04023268.1_chrUn	NT_478727.1	AADN04023268.1
scaffold_AADN04023269.1_chrUn	NT_478728.1	AADN04023269.1
scaffold_AADN04023271.1_chrUn	NT_478729.1	AADN04023271.1
scaffold_AADN04023272.1_chrUn	NT_478730.1	AADN04023272.1
scaffold_AADN04023273.1_chrUn	NT_478731.1	AADN04023273.1
scaffold_AADN04023274.1_chrUn	NT_478732.1	AADN04023274.1
scaffold_AADN04023275.1_chrUn	NT_478733.1	AADN04023275.1
scaffold_AADN04023276.1_chrUn	NT_478734.1	AADN04023276.1
scaffold_AADN04002181.1_chrUn	NT_464972.1	AADN04002181.1
scaffold_AADN04023278.1_chrUn	NT_478735.1	AADN04023278.1
scaffold_AADN04023280.1_chrUn	NT_478736.1	AADN04023280.1
scaffold_AADN04023283.1_chrUn	NT_478737.1	AADN04023283.1
scaffold_AADN04023285.1_chrUn	NT_478738.1	AADN04023285.1
scaffold_AADN04023288.1_chrUn	NT_478739.1	AADN04023288.1
scaffold_AADN04023289.1_chrUn	NT_478740.1	AADN04023289.1
scaffold_AADN04023290.1_chrUn	NT_478741.1	AADN04023290.1
scaffold_AADN04023291.1_chrUn	NT_478742.1	AADN04023291.1
scaffold_AADN04023292.1_chrUn	NT_478743.1	AADN04023292.1
scaffold_AADN04023293.1_chrUn	NT_478744.1	AADN04023293.1
scaffold_AADN04023295.1_chrUn	NT_478745.1	AADN04023295.1
scaffold_AADN04023297.1_chrUn	NT_478746.1	AADN04023297.1
scaffold_AADN04023298.1_chrUn	NT_478747.1	AADN04023298.1
scaffold_AADN04023299.1_chrUn	NT_478748.1	AADN04023299.1
scaffold_AADN04023300.1_chrUn	NT_478749.1	AADN04023300.1
scaffold_AADN04023302.1_chrUn	NT_478750.1	AADN04023302.1
scaffold_AADN04023303.1_chrUn	NT_478751.1	AADN04023303.1
scaffold_AADN04023304.1_chrUn	NT_478752.1	AADN04023304.1
scaffold_AADN04023305.1_chrUn	NT_478753.1	AADN04023305.1
scaffold_AADN04023306.1_chrUn	NT_478754.1	AADN04023306.1
scaffold_AADN04023307.1_chrUn	NT_478755.1	AADN04023307.1
scaffold_AADN04002184.1_chrUn	NT_464973.1	AADN04002184.1
scaffold_AADN04023308.1_chrUn	NT_478756.1	AADN04023308.1
scaffold_AADN04023309.1_chrUn	NT_478757.1	AADN04023309.1
scaffold_AADN04023312.1_chrUn	NT_478758.1	AADN04023312.1
scaffold_AADN04023313.1_chrUn	NT_478759.1	AADN04023313.1
scaffold_AADN04023315.1_chrUn	NT_478760.1	AADN04023315.1
scaffold_AADN04023316.1_chrUn	NT_478761.1	AADN04023316.1
scaffold_KQ759580.1_chrUn	NT_464974.1	KQ759580.1
scaffold_AADN04023318.1_chrUn	NT_478762.1	AADN04023318.1
scaffold_AADN04023319.1_chrUn	NT_478763.1	AADN04023319.1
scaffold_AADN04023320.1_chrUn	NT_478764.1	AADN04023320.1
scaffold_AADN04023321.1_chrUn	NT_478765.1	AADN04023321.1
scaffold_AADN04023322.1_chrUn	NT_478766.1	AADN04023322.1
scaffold_AADN04023323.1_chrUn	NT_478767.1	AADN04023323.1
scaffold_AADN04023324.1_chrUn	NT_478768.1	AADN04023324.1
scaffold_AADN04023325.1_chrUn	NT_478769.1	AADN04023325.1
scaffold_AADN04023326.1_chrUn	NT_478770.1	AADN04023326.1
scaffold_AADN04023327.1_chrUn	NT_478771.1	AADN04023327.1
scaffold_AADN04002187.1_chrUn	NT_464975.1	AADN04002187.1
scaffold_AADN04023328.1_chrUn	NT_478772.1	AADN04023328.1
scaffold_AADN04023329.1_chrUn	NT_478773.1	AADN04023329.1
scaffold_AADN04023330.1_chrUn	NT_478774.1	AADN04023330.1
scaffold_AADN04023331.1_chrUn	NT_478775.1	AADN04023331.1
scaffold_AADN04023332.1_chrUn	NT_478776.1	AADN04023332.1
scaffold_AADN04023334.1_chrUn	NT_478777.1	AADN04023334.1
scaffold_AADN04023335.1_chrUn	NT_478778.1	AADN04023335.1
scaffold_AADN04023336.1_chrUn	NT_478779.1	AADN04023336.1
scaffold_AADN04023337.1_chrUn	NT_478780.1	AADN04023337.1
scaffold_AADN04002188.1_chrUn	NT_464976.1	AADN04002188.1
scaffold_AADN04023338.1_chrUn	NT_478781.1	AADN04023338.1
scaffold_AADN04023340.1_chrUn	NT_478782.1	AADN04023340.1
scaffold_AADN04023341.1_chrUn	NT_478783.1	AADN04023341.1
scaffold_AADN04023342.1_chrUn	NT_478784.1	AADN04023342.1
scaffold_AADN04023343.1_chrUn	NT_478785.1	AADN04023343.1
scaffold_AADN04023344.1_chrUn	NT_478786.1	AADN04023344.1
scaffold_AADN04023345.1_chrUn	NT_478787.1	AADN04023345.1
scaffold_AADN04023346.1_chrUn	NT_478788.1	AADN04023346.1
scaffold_AADN04023347.1_chrUn	NT_478789.1	AADN04023347.1
scaffold_AADN04023348.1_chrUn	NT_478790.1	AADN04023348.1
scaffold_AADN04023349.1_chrUn	NT_478791.1	AADN04023349.1
scaffold_AADN04023352.1_chrUn	NT_478792.1	AADN04023352.1
scaffold_AADN04023354.1_chrUn	NT_478793.1	AADN04023354.1
scaffold_AADN04002190.1_chrUn	NT_464977.1	AADN04002190.1
scaffold_AADN04023356.1_chrUn	NT_478794.1	AADN04023356.1
scaffold_AADN04023357.1_chrUn	NT_478795.1	AADN04023357.1
scaffold_AADN04023358.1_chrUn	NT_478796.1	AADN04023358.1
scaffold_AADN04023359.1_chrUn	NT_478797.1	AADN04023359.1
scaffold_AADN04023362.1_chrUn	NT_478798.1	AADN04023362.1
scaffold_AADN04023363.1_chrUn	NT_478799.1	AADN04023363.1
scaffold_AADN04023364.1_chrUn	NT_478800.1	AADN04023364.1
scaffold_AADN04023365.1_chrUn	NT_478801.1	AADN04023365.1
scaffold_AADN04002191.1_chrUn	NT_464978.1	AADN04002191.1
scaffold_AADN04023366.1_chrUn	NT_478802.1	AADN04023366.1
scaffold_AADN04023367.1_chrUn	NT_478803.1	AADN04023367.1
scaffold_AADN04023368.1_chrUn	NT_478804.1	AADN04023368.1
scaffold_AADN04023369.1_chrUn	NT_478805.1	AADN04023369.1
scaffold_AADN04023370.1_chrUn	NT_478806.1	AADN04023370.1
scaffold_AADN04023371.1_chrUn	NT_478807.1	AADN04023371.1
scaffold_AADN04023372.1_chrUn	NT_478808.1	AADN04023372.1
scaffold_AADN04023375.1_chrUn	NT_478809.1	AADN04023375.1
scaffold_AADN04023376.1_chrUn	NT_478810.1	AADN04023376.1
scaffold_AADN04023379.1_chrUn	NT_478811.1	AADN04023379.1
scaffold_AADN04023380.1_chrUn	NT_478812.1	AADN04023380.1
scaffold_AADN04023381.1_chrUn	NT_478813.1	AADN04023381.1
scaffold_AADN04023382.1_chrUn	NT_478814.1	AADN04023382.1
scaffold_AADN04023384.1_chrUn	NT_478815.1	AADN04023384.1
scaffold_AADN04023385.1_chrUn	NT_478816.1	AADN04023385.1
scaffold_AADN04023386.1_chrUn	NT_478817.1	AADN04023386.1
scaffold_AADN04023388.1_chrUn	NT_478818.1	AADN04023388.1
scaffold_AADN04023389.1_chrUn	NT_478819.1	AADN04023389.1
scaffold_AADN04023390.1_chrUn	NT_478820.1	AADN04023390.1
scaffold_AADN04023391.1_chrUn	NT_478821.1	AADN04023391.1
scaffold_AADN04023392.1_chrUn	NT_478822.1	AADN04023392.1
scaffold_AADN04023393.1_chrUn	NT_478823.1	AADN04023393.1
scaffold_AADN04002193.1_chrUn	NT_464979.1	AADN04002193.1
scaffold_AADN04023396.1_chrUn	NT_478824.1	AADN04023396.1
scaffold_AADN04023398.1_chrUn	NT_478825.1	AADN04023398.1
scaffold_AADN04023399.1_chrUn	NT_478826.1	AADN04023399.1
scaffold_AADN04023401.1_chrUn	NT_478827.1	AADN04023401.1
scaffold_AADN04023402.1_chrUn	NT_478828.1	AADN04023402.1
scaffold_AADN04023404.1_chrUn	NT_478829.1	AADN04023404.1
scaffold_AADN04023406.1_chrUn	NT_478830.1	AADN04023406.1
scaffold_AADN04023407.1_chrUn	NT_478831.1	AADN04023407.1
scaffold_AADN04023408.1_chrUn	NT_478832.1	AADN04023408.1
scaffold_AADN04023409.1_chrUn	NT_478833.1	AADN04023409.1
scaffold_AADN04023410.1_chrUn	NT_478834.1	AADN04023410.1
scaffold_AADN04023411.1_chrUn	NT_478835.1	AADN04023411.1
scaffold_AADN04023412.1_chrUn	NT_478836.1	AADN04023412.1
scaffold_AADN04023413.1_chrUn	NT_478837.1	AADN04023413.1
scaffold_AADN04023414.1_chrUn	NT_478838.1	AADN04023414.1
scaffold_AADN04023416.1_chrUn	NT_478839.1	AADN04023416.1
scaffold_AADN04023417.1_chrUn	NT_478840.1	AADN04023417.1
scaffold_AADN04023418.1_chrUn	NT_478841.1	AADN04023418.1
scaffold_AADN04023419.1_chrUn	NT_478842.1	AADN04023419.1
scaffold_AADN04023420.1_chrUn	NT_478843.1	AADN04023420.1
scaffold_AADN04023421.1_chrUn	NT_478844.1	AADN04023421.1
scaffold_AADN04002196.1_chrUn	NT_464980.1	AADN04002196.1
scaffold_AADN04023422.1_chrUn	NT_478845.1	AADN04023422.1
scaffold_AADN04023423.1_chrUn	NT_478846.1	AADN04023423.1
scaffold_AADN04023426.1_chrUn	NT_478847.1	AADN04023426.1
scaffold_AADN04023427.1_chrUn	NT_478848.1	AADN04023427.1
scaffold_AADN04023428.1_chrUn	NT_478849.1	AADN04023428.1
scaffold_AADN04023430.1_chrUn	NT_478850.1	AADN04023430.1
scaffold_AADN04023431.1_chrUn	NT_478851.1	AADN04023431.1
scaffold_AADN04002197.1_chrUn	NT_464981.1	AADN04002197.1
scaffold_AADN04023432.1_chrUn	NT_478852.1	AADN04023432.1
scaffold_AADN04023433.1_chrUn	NT_478853.1	AADN04023433.1
scaffold_AADN04023435.1_chrUn	NT_478854.1	AADN04023435.1
scaffold_AADN04023437.1_chrUn	NT_478855.1	AADN04023437.1
scaffold_AADN04023438.1_chrUn	NT_478856.1	AADN04023438.1
scaffold_AADN04023439.1_chrUn	NT_478857.1	AADN04023439.1
scaffold_AADN04023440.1_chrUn	NT_478858.1	AADN04023440.1
scaffold_AADN04023441.1_chrUn	NT_478859.1	AADN04023441.1
scaffold_AADN04023442.1_chrUn	NT_478860.1	AADN04023442.1
scaffold_AADN04023444.1_chrUn	NT_478861.1	AADN04023444.1
scaffold_AADN04023445.1_chrUn	NT_478862.1	AADN04023445.1
scaffold_AADN04023447.1_chrUn	NT_478863.1	AADN04023447.1
scaffold_AADN04023448.1_chrUn	NT_478864.1	AADN04023448.1
scaffold_AADN04023449.1_chrUn	NT_478865.1	AADN04023449.1
scaffold_AADN04023450.1_chrUn	NT_478866.1	AADN04023450.1
scaffold_AADN04002198.1_chrUn	NT_464982.1	AADN04002198.1
scaffold_AADN04023451.1_chrUn	NT_478867.1	AADN04023451.1
scaffold_AADN04023452.1_chrUn	NT_478868.1	AADN04023452.1
scaffold_AADN04023453.1_chrUn	NT_478869.1	AADN04023453.1
scaffold_AADN04023455.1_chrUn	NT_478870.1	AADN04023455.1
scaffold_AADN04023456.1_chrUn	NT_478871.1	AADN04023456.1
scaffold_AADN04023457.1_chrUn	NT_478872.1	AADN04023457.1
scaffold_AADN04023459.1_chrUn	NT_478873.1	AADN04023459.1
scaffold_AADN04023460.1_chrUn	NT_478874.1	AADN04023460.1
scaffold_AADN04023462.1_chrUn	NT_478875.1	AADN04023462.1
scaffold_AADN04023463.1_chrUn	NT_478876.1	AADN04023463.1
scaffold_AADN04023465.1_chrUn	NT_478877.1	AADN04023465.1
scaffold_AADN04023466.1_chrUn	NT_478878.1	AADN04023466.1
scaffold_AADN04023467.1_chrUn	NT_478879.1	AADN04023467.1
scaffold_AADN04023468.1_chrUn	NT_478880.1	AADN04023468.1
scaffold_AADN04023469.1_chrUn	NT_478881.1	AADN04023469.1
scaffold_AADN04023470.1_chrUn	NT_478882.1	AADN04023470.1
scaffold_AADN04023471.1_chrUn	NT_478883.1	AADN04023471.1
scaffold_AADN04023472.1_chrUn	NT_478884.1	AADN04023472.1
scaffold_AADN04023475.1_chrUn	NT_478885.1	AADN04023475.1
scaffold_AADN04023476.1_chrUn	NT_478886.1	AADN04023476.1
scaffold_AADN04023477.1_chrUn	NT_478887.1	AADN04023477.1
scaffold_AADN04023478.1_chrUn	NT_478888.1	AADN04023478.1
scaffold_AADN04023479.1_chrUn	NT_478889.1	AADN04023479.1
scaffold_AADN04023480.1_chrUn	NT_478890.1	AADN04023480.1
scaffold_AADN04023481.1_chrUn	NT_478891.1	AADN04023481.1
scaffold_AADN04023482.1_chrUn	NT_478892.1	AADN04023482.1
scaffold_AADN04023484.1_chrUn	NT_478893.1	AADN04023484.1
scaffold_AADN04023485.1_chrUn	NT_478894.1	AADN04023485.1
scaffold_AADN04023486.1_chrUn	NT_478895.1	AADN04023486.1
scaffold_AADN04023487.1_chrUn	NT_478896.1	AADN04023487.1
scaffold_AADN04002201.1_chrUn	NT_464983.1	AADN04002201.1
scaffold_AADN04023488.1_chrUn	NT_478897.1	AADN04023488.1
scaffold_AADN04023490.1_chrUn	NT_478898.1	AADN04023490.1
scaffold_AADN04023491.1_chrUn	NT_478899.1	AADN04023491.1
scaffold_AADN04023492.1_chrUn	NT_478900.1	AADN04023492.1
scaffold_AADN04023493.1_chrUn	NT_478901.1	AADN04023493.1
scaffold_AADN04023494.1_chrUn	NT_478902.1	AADN04023494.1
scaffold_AADN04023496.1_chrUn	NT_478903.1	AADN04023496.1
scaffold_AADN04023498.1_chrUn	NT_478904.1	AADN04023498.1
scaffold_AADN04023499.1_chrUn	NT_478905.1	AADN04023499.1
scaffold_AADN04023500.1_chrUn	NT_478906.1	AADN04023500.1
scaffold_AADN04023502.1_chrUn	NT_478907.1	AADN04023502.1
scaffold_AADN04023503.1_chrUn	NT_478908.1	AADN04023503.1
scaffold_AADN04023505.1_chrUn	NT_478909.1	AADN04023505.1
scaffold_AADN04023507.1_chrUn	NT_478910.1	AADN04023507.1
scaffold_AADN04023508.1_chrUn	NT_478911.1	AADN04023508.1
scaffold_AADN04023510.1_chrUn	NT_478912.1	AADN04023510.1
scaffold_AADN04023511.1_chrUn	NT_478913.1	AADN04023511.1
scaffold_AADN04023512.1_chrUn	NT_478914.1	AADN04023512.1
scaffold_AADN04023513.1_chrUn	NT_478915.1	AADN04023513.1
scaffold_AADN04023514.1_chrUn	NT_478916.1	AADN04023514.1
scaffold_AADN04002204.1_chrUn	NT_464984.1	AADN04002204.1
scaffold_AADN04023517.1_chrUn	NT_478917.1	AADN04023517.1
scaffold_AADN04023518.1_chrUn	NT_478918.1	AADN04023518.1
scaffold_AADN04023519.1_chrUn	NT_478919.1	AADN04023519.1
scaffold_AADN04023520.1_chrUn	NT_478920.1	AADN04023520.1
scaffold_AADN04023521.1_chrUn	NT_478921.1	AADN04023521.1
scaffold_AADN04023522.1_chrUn	NT_478922.1	AADN04023522.1
scaffold_AADN04023523.1_chrUn	NT_478923.1	AADN04023523.1
scaffold_AADN04023524.1_chrUn	NT_478924.1	AADN04023524.1
scaffold_AADN04002205.1_chrUn	NT_464985.1	AADN04002205.1
scaffold_AADN04023526.1_chrUn	NT_478925.1	AADN04023526.1
scaffold_AADN04023527.1_chrUn	NT_478926.1	AADN04023527.1
scaffold_AADN04023528.1_chrUn	NT_478927.1	AADN04023528.1
scaffold_AADN04023529.1_chrUn	NT_478928.1	AADN04023529.1
scaffold_AADN04023530.1_chrUn	NT_478929.1	AADN04023530.1
scaffold_AADN04023531.1_chrUn	NT_478930.1	AADN04023531.1
scaffold_AADN04023533.1_chrUn	NT_478931.1	AADN04023533.1
scaffold_AADN04002206.1_chrUn	NT_464986.1	AADN04002206.1
scaffold_AADN04023536.1_chrUn	NT_478932.1	AADN04023536.1
scaffold_AADN04023537.1_chrUn	NT_478933.1	AADN04023537.1
scaffold_AADN04023538.1_chrUn	NT_478934.1	AADN04023538.1
scaffold_AADN04023539.1_chrUn	NT_478935.1	AADN04023539.1
scaffold_AADN04023540.1_chrUn	NT_478936.1	AADN04023540.1
scaffold_AADN04023541.1_chrUn	NT_478937.1	AADN04023541.1
scaffold_AADN04023542.1_chrUn	NT_478938.1	AADN04023542.1
scaffold_AADN04023543.1_chrUn	NT_478939.1	AADN04023543.1
scaffold_AADN04023544.1_chrUn	NT_478940.1	AADN04023544.1
scaffold_AADN04023545.1_chrUn	NT_478941.1	AADN04023545.1
scaffold_AADN04023546.1_chrUn	NT_478942.1	AADN04023546.1
scaffold_AADN04023550.1_chrUn	NT_478943.1	AADN04023550.1
scaffold_AADN04023551.1_chrUn	NT_478944.1	AADN04023551.1
scaffold_AADN04023552.1_chrUn	NT_478945.1	AADN04023552.1
scaffold_AADN04023554.1_chrUn	NT_478946.1	AADN04023554.1
scaffold_AADN04023555.1_chrUn	NT_478947.1	AADN04023555.1
scaffold_AADN04023556.1_chrUn	NT_478948.1	AADN04023556.1
scaffold_AADN04023557.1_chrUn	NT_478949.1	AADN04023557.1
scaffold_AADN04023558.1_chrUn	NT_478950.1	AADN04023558.1
scaffold_AADN04023559.1_chrUn	NT_478951.1	AADN04023559.1
scaffold_AADN04023560.1_chrUn	NT_478952.1	AADN04023560.1
scaffold_AADN04023561.1_chrUn	NT_478953.1	AADN04023561.1
scaffold_AADN04023562.1_chrUn	NT_478954.1	AADN04023562.1
scaffold_AADN04002209.1_chrUn	NT_464987.1	AADN04002209.1
scaffold_AADN04023564.1_chrUn	NT_478955.1	AADN04023564.1
scaffold_AADN04023565.1_chrUn	NT_478956.1	AADN04023565.1
scaffold_AADN04023566.1_chrUn	NT_478957.1	AADN04023566.1
scaffold_AADN04023567.1_chrUn	NT_478958.1	AADN04023567.1
scaffold_AADN04023568.1_chrUn	NT_478959.1	AADN04023568.1
scaffold_AADN04023569.1_chrUn	NT_478960.1	AADN04023569.1
scaffold_AADN04023571.1_chrUn	NT_478961.1	AADN04023571.1
scaffold_AADN04023572.1_chrUn	NT_478962.1	AADN04023572.1
scaffold_AADN04002210.1_chrUn	NT_464988.1	AADN04002210.1
scaffold_AADN04023574.1_chrUn	NT_478963.1	AADN04023574.1
scaffold_AADN04023575.1_chrUn	NT_478964.1	AADN04023575.1
scaffold_AADN04023576.1_chrUn	NT_478965.1	AADN04023576.1
scaffold_AADN04023577.1_chrUn	NT_478966.1	AADN04023577.1
scaffold_AADN04023579.1_chrUn	NT_478967.1	AADN04023579.1
scaffold_AADN04023580.1_chrUn	NT_478968.1	AADN04023580.1
scaffold_AADN04023581.1_chrUn	NT_478969.1	AADN04023581.1
scaffold_AADN04023582.1_chrUn	NT_478970.1	AADN04023582.1
scaffold_AADN04023583.1_chrUn	NT_478971.1	AADN04023583.1
scaffold_AADN04023584.1_chrUn	NT_478972.1	AADN04023584.1
scaffold_AADN04023585.1_chrUn	NT_478973.1	AADN04023585.1
scaffold_AADN04023586.1_chrUn	NT_478974.1	AADN04023586.1
scaffold_KQ759742.1_chrUn	NT_478975.1	KQ759742.1
scaffold_AADN04023589.1_chrUn	NT_478976.1	AADN04023589.1
scaffold_AADN04023591.1_chrUn	NT_478977.1	AADN04023591.1
scaffold_AADN04023592.1_chrUn	NT_478978.1	AADN04023592.1
scaffold_AADN04023593.1_chrUn	NT_478979.1	AADN04023593.1
scaffold_AADN04023594.1_chrUn	NT_478980.1	AADN04023594.1
scaffold_AADN04023595.1_chrUn	NT_478981.1	AADN04023595.1
scaffold_AADN04023596.1_chrUn	NT_478982.1	AADN04023596.1
scaffold_AADN04023597.1_chrUn	NT_478983.1	AADN04023597.1
scaffold_AADN04023598.1_chrUn	NT_478984.1	AADN04023598.1
scaffold_AADN04023599.1_chrUn	NT_478985.1	AADN04023599.1
scaffold_AADN04023600.1_chrUn	NT_478986.1	AADN04023600.1
scaffold_AADN04002213.1_chrUn	NT_464989.1	AADN04002213.1
scaffold_AADN04023601.1_chrUn	NT_478987.1	AADN04023601.1
scaffold_AADN04023602.1_chrUn	NT_478988.1	AADN04023602.1
scaffold_AADN04023603.1_chrUn	NT_478989.1	AADN04023603.1
scaffold_AADN04023604.1_chrUn	NT_478990.1	AADN04023604.1
scaffold_AADN04023605.1_chrUn	NT_478991.1	AADN04023605.1
scaffold_AADN04023607.1_chrUn	NT_478992.1	AADN04023607.1
